city,lat,temp,humid,cloudy,windy
New Norfolk,-42.78,33.8,76,0,4.7
Kushima,31.5,76.67,100,32,3.71
Rikitea,-23.12,74.96,96,0,14.9
Albany,42.65,91.02,43,40,11.41
Miyazu,35.58,68.12,96,24,2.15
Nemuro,43.32,60.74,96,92,10.2
Bredasdorp,-34.53,57.2,82,20,4.7
Ushuaia,-54.81,32.25,86,90,27.51
Naze,5.43,71.54,97,92,2.71
Leningradskiy,69.38,37.88,100,92,10.65
Mataura,-46.19,44.81,98,44,5.28
Avarua,-21.21,71.6,46,75,13.87
Hithadhoo,-0.6,83.15,100,68,8.41
Barra do Corda,-5.5,91.43,33,20,5.06
Bluff,-23.58,44.0,71,0,1.7
Jamestown,-33.21,63.08,23,88,23.73
Bubaque,11.28,78.8,94,90,6.93
Vardo,39.62,91.92,50,1,4.7
Kahului,20.89,80.04,76,40,16.11
Port Elizabeth,39.31,93.63,54,1,9.17
Khash,28.22,62.99,31,0,6.4
East London,-33.02,68.93,97,0,16.69
Grootfontein,-19.56,53.36,40,0,6.29
Marfino,56.07,70.36,46,0,11.18
Sorgun,39.81,57.05,92,36,1.59
Hami,42.84,67.85,59,88,3.94
Natal,-5.81,82.4,51,20,25.28
Lata,30.78,59.75,100,80,0.58
Norman Wells,65.28,46.4,75,75,11.41
Punta Arenas,-53.16,37.4,69,75,20.8
Macamic,48.75,48.2,100,90,10.29
Dikson,73.51,41.39,100,20,27.76
Upernavik,72.79,37.79,100,24,19.71
Pacifica,37.61,72.18,53,1,8.05
Tasiilaq,65.61,44.6,98,40,10.29
Severo-Kurilsk,50.68,51.65,95,56,7.63
Atuona,-9.8,79.37,100,0,15.01
Lebu,8.96,50.03,94,80,2.59
Vaini,15.34,68.48,99,92,4.61
Hermanus,-34.42,42.83,95,8,4.16
Qaanaaq,77.48,33.65,100,24,3.15
Pisco,-13.71,71.6,30,0,10.29
Zilair,52.23,45.53,86,0,2.37
Nikolskoye,59.7,57.2,100,90,6.71
North Bend,43.41,57.2,82,90,3.36
Esperance,10.24,87.8,70,40,10.29
Klaksvik,62.23,48.2,87,92,13.87
Zaysan,47.47,43.73,85,8,2.59
Alta Floresta,-9.87,95.0,30,40,4.7
Avera,33.19,91.63,45,75,3.36
Bathsheba,13.22,86.0,74,40,14.99
Chokurdakh,70.62,47.51,73,0,3.04
Fortuna,38.18,80.6,78,20,8.05
Pontes e Lacerda,-15.23,76.58,92,32,3.27
Katsuura,33.93,78.8,88,75,4.7
Barrow,-38.31,60.29,44,0,13.0
Mayna,53.0,50.3,96,8,2.26
Liverpool,53.41,57.22,71,0,9.17
Dingle,11.0,75.23,93,48,2.26
Grindavik,63.84,49.28,61,0,9.17
Kapaa,22.08,80.96,79,75,14.99
Khatima,28.92,78.38,88,32,4.38
Shakawe,-18.36,71.18,27,56,8.97
Sakaiminato,35.55,75.2,73,75,6.73
Saint George,39.45,73.4,73,0,5.82
Tilichiki,60.47,46.7,93,76,9.75
Caxito,-22.65,74.32,69,20,19.46
Ciudad Ojeda,10.22,85.22,99,12,7.96
Port Blair,11.67,79.01,100,92,19.15
Houma,35.63,68.39,88,24,2.37
Mahebourg,-20.41,68.0,72,40,3.36
Soe,57.91,57.2,93,0,8.05
Hirara,24.8,81.53,100,80,8.97
Kavieng,-2.57,83.78,100,92,9.19
Uthal,25.81,76.13,87,48,4.83
Puerto Ayora,-0.74,78.8,61,40,19.46
Butaritari,3.07,83.06,100,44,2.37
Husavik,50.56,66.05,84,0,9.53
Ulaanbaatar,47.92,51.8,87,75,2.93
Carnarvon,-30.97,36.98,55,0,2.82
Nouadhibou,20.93,71.6,78,8,20.8
Lagoa,37.14,73.4,78,0,1.12
Tuatapere,-46.13,45.8,100,92,6.51
Dukat,42.44,58.85,89,0,1.7
Quesnel,52.98,62.6,67,40,3.36
Atikokan,48.76,65.51,62,8,5.17
Sherbakul,54.63,52.1,89,76,2.59
Georgetown,6.8,83.42,74,24,8.41
Saskylakh,71.97,56.6,95,88,13.22
Sorland,67.67,64.4,59,0,9.17
Batagay,67.65,43.28,83,0,2.71
Mar del Plata,-46.43,49.31,42,24,21.16
Broome,52.47,60.15,82,75,4.7
Te Anau,-45.41,39.05,96,24,3.15
Luena,-11.78,63.98,33,20,7.4
Salalah,17.01,75.2,94,90,4.7
Chuy,-33.69,68.03,80,92,15.01
Koumac,-20.56,67.13,89,0,9.19
Thompson,55.74,57.2,44,75,5.82
Souillac,45.6,64.4,68,75,4.7
Edd,13.93,81.08,62,24,2.59
Birjand,32.86,69.8,19,0,13.87
San Juan,18.47,83.26,79,75,11.41
Grand Gaube,-20.01,68.0,72,40,3.36
Itapuranga,-15.56,83.15,31,0,4.94
Pandan,11.72,81.53,100,80,6.51
Yellowknife,62.45,53.6,71,75,8.05
Torbay,47.66,72.55,88,75,20.8
Havoysund,71.0,58.69,63,20,29.97
Arraial do Cabo,-22.97,74.26,64,20,11.41
Samarai,-10.62,77.3,100,92,20.83
Saint-Augustin,44.83,64.4,72,0,5.82
Hofn,64.25,48.2,100,75,18.34
Prince Rupert,54.32,59.0,82,75,5.82
Kasongo-Lunda,-6.48,69.83,84,0,2.15
Honiara,-9.43,73.4,94,20,2.24
Khatanga,71.98,50.03,80,56,14.12
Luderitz,-26.65,59.3,61,0,3.6
Teknaf,20.86,73.7,100,88,3.38
Port Alfred,-33.59,63.62,92,0,8.97
Ambilobe,-13.19,68.21,65,12,5.95
Three Hills,51.7,71.6,37,75,6.93
Myrtle Beach,33.7,88.39,67,1,11.41
Nome,30.04,83.21,63,1,6.96
Am Timan,11.04,79.73,70,32,5.39
Hilo,19.71,75.92,87,90,4.7
Vercelli,45.33,76.32,44,0,3.36
Sitka,37.17,80.81,62,92,10.98
Kodiak,39.95,75.92,64,1,6.93
Baherden,38.44,69.83,40,0,7.4
Russell,-33.01,75.2,36,0,9.17
Hangu,33.53,84.2,74,20,6.93
Cidreira,-30.17,66.95,79,32,6.96
Kruisfontein,-34.0,56.42,96,0,6.4
Clyde River,70.47,37.4,86,90,12.75
Noumea,-22.28,57.2,100,90,2.24
Yatou,3.63,77.0,100,75,2.24
Diamantino,-14.4,89.45,43,8,4.72
Yar-Sale,66.83,47.87,100,76,17.13
Fethiye,36.62,75.2,78,40,2.24
Baykit,61.68,50.84,93,80,4.27
Provideniya,64.42,46.4,81,90,11.18
Opuwo,-18.06,55.25,47,0,2.59
Qaqortoq,60.72,48.2,61,75,36.91
Longyearbyen,78.22,44.6,65,75,14.99
La Macarena,2.18,83.6,60,56,2.48
Victoria,5.28,79.68,88,75,1.12
Chama,-11.22,62.27,62,0,9.31
Aasiaat,68.71,41.57,99,64,6.73
Kefamenanu,-9.45,58.58,92,0,1.81
Wysokie Mazowieckie,52.92,53.45,84,0,2.82
Acapulco,16.86,87.8,62,75,9.17
Isangel,-19.55,71.45,100,92,13.0
Dourados,-22.22,84.41,43,0,11.21
Cap Malheureux,-19.98,68.0,72,40,3.36
Marsh Harbour,26.54,83.87,99,36,14.0
Idio,11.62,81.98,96,44,5.73
Dunedin,-45.87,39.68,92,24,2.71
Melita,49.27,72.26,44,0,14.67
Tual,-5.67,78.65,100,56,8.75
Poum,41.28,59.48,85,20,1.7
Mount Isa,-20.73,46.4,39,0,5.39
Arklow,52.79,57.2,67,75,6.93
Menongue,-14.66,62.45,32,0,3.49
Oil City,41.43,86.0,61,40,12.75
Middelburg,-25.77,46.07,52,0,6.17
Zarate,-13.68,71.6,30,0,9.17
Airai,-8.93,61.73,84,0,1.36
Hamilton,43.26,80.35,65,75,14.99
Mahibadhoo,3.78,82.79,100,64,11.21
Hervey Bay,-25.3,61.1,100,0,10.98
Ponta do Sol,-20.63,72.98,46,8,6.29
Fallon,46.84,75.92,34,1,11.41
Tiksi,71.64,49.85,83,0,6.4
Cockburn Town,21.46,84.41,94,8,19.71
Kurumkan,54.33,38.78,79,0,1.7
Teya,21.05,95.0,50,40,6.93
Maldonado,-34.91,73.4,53,0,9.17
Thinadhoo,0.53,83.78,100,76,6.96
Beyneu,45.32,71.27,43,0,12.44
Oktyabrskiy,55.61,69.37,48,0,8.95
Coquimbo,-29.95,55.4,76,75,14.99
Marivan,35.52,57.41,62,0,1.59
Sur,22.57,83.51,90,8,6.96
Makakilo City,21.35,82.13,65,20,12.75
Mudanjiang,44.58,62.09,100,92,2.04
Saint-Philippe,45.36,78.75,83,90,14.99
Chiredzi,-21.05,58.31,63,0,5.61
San Cristobal,-0.39,60.8,55,75,18.34
Marzuq,14.4,71.45,58,80,1.92
Luau,-10.7,70.37,36,0,4.94
Carauari,-4.88,77.03,90,8,3.94
Luganville,-15.51,77.3,100,68,5.5
Udachnyy,66.42,53.81,93,44,4.16
Tarakan,3.3,73.97,100,68,9.19
Chippewa Falls,44.94,64.24,58,75,6.93
Mogosesti-Siret,47.13,64.38,68,0,4.7
Codrington,-28.95,38.15,80,0,2.37
Flinders,-34.58,37.4,100,0,8.05
Galle,29.74,97.93,34,75,6.93
Mayo,63.59,55.4,62,75,6.93
Takoradi,4.89,75.77,97,44,5.95
Peniche,39.36,65.14,77,20,20.8
Tuktoyaktuk,69.44,39.2,80,90,10.29
Ribeira Grande,38.52,77.0,78,20,13.87
Innisfail,52.02,71.6,37,75,6.93
Hambantota,6.12,79.19,100,64,14.23
Faanui,-16.48,76.22,100,92,21.39
West Plains,36.73,70.48,97,90,6.93
Aklavik,68.22,40.14,80,90,6.93
Barra,-11.09,81.62,35,0,12.55
San Juan del Sur,11.25,87.8,66,40,6.93
Kieta,-6.22,78.38,100,48,4.61
Synya,65.37,43.55,87,8,4.72
Sambava,-14.27,72.53,100,32,17.25
Margate,-43.03,33.8,100,0,4.7
Kaitangata,-46.28,45.8,91,32,10.54
Beringovskiy,63.05,48.68,100,92,22.62
Bambous Virieux,-20.34,68.0,72,40,3.36
Abu Zabad,12.35,74.78,74,8,8.75
Hit,33.64,82.97,28,0,3.38
Zyryanka,65.73,44.36,79,0,5.28
Castro,-42.48,47.51,70,0,8.86
Moa,20.66,82.88,65,56,6.4
Otane,-39.89,44.72,93,20,3.04
Saint-Joseph,43.56,78.87,78,0,3.36
Milicz,51.53,64.4,55,0,10.29
Martapura,-3.41,73.7,100,64,4.38
Homer,59.64,54.46,71,1,3.94
Yarada,17.65,80.27,100,48,23.06
Sorong,-0.86,79.46,100,68,14.67
Arlit,18.74,85.58,44,36,2.48
Bahawalpur,29.39,84.32,63,12,6.51
Rafaela,-31.25,84.77,47,8,12.44
Camargo,27.69,89.81,37,0,4.27
Pangody,65.85,48.5,93,80,9.98
Sabang,13.72,76.67,99,0,1.59
Dzerzhinsk,56.24,62.6,82,0,9.08
Ostrovnoy,68.05,47.78,87,0,11.43
Northam,51.04,56.5,71,20,5.82
Norwich,52.63,60.15,82,75,4.7
Stara Synyava,49.6,56.42,91,8,2.59
Nainpur,22.43,72.17,98,92,5.17
Kijang,35.24,78.8,94,75,5.82
Seoul,37.57,77.77,88,90,5.82
Port-Gentil,-0.72,78.8,83,40,9.17
Palmer,61.6,58.19,77,1,4.7
Malanje,-9.54,67.58,68,56,4.94
Tlalchapa,18.41,74.87,78,100,1.25
Srednekolymsk,67.46,45.08,83,0,2.37
Todos Santos,23.45,91.47,66,20,9.17
Havelock,34.88,89.08,67,1,12.75
Funadhoo,6.15,80.18,100,92,12.44
Gat,14.69,80.36,85,92,9.19
Magalia,39.81,78.6,42,1,5.17
Idlib,35.93,78.8,83,0,16.11
Blagoyevo,63.37,43.55,87,0,2.59
Alofi,-19.06,71.6,73,36,10.29
Lamar,38.09,75.02,49,1,11.43
Banepa,27.63,69.8,100,75,2.24
Sioux Lookout,50.1,60.8,72,90,11.41
Alice Springs,-23.7,71.6,10,0,21.92
Coffs Harbour,-30.3,39.2,100,40,3.36
Maswa,-3.18,61.73,67,0,8.3
Atar,20.52,93.14,34,92,6.4
Lorengau,-2.02,78.83,100,56,2.15
Penzance,50.12,56.35,71,40,10.29
Camacha,33.08,73.4,64,75,9.17
Mulanje,-16.03,61.73,93,88,5.73
Dzaoudzi,-12.79,75.2,83,0,3.36
High Rock,26.63,89.6,66,40,10.29
Tessalit,20.2,84.95,39,44,0.58
Vila,45.18,77.88,44,0,3.36
Bouloupari,-21.87,57.2,100,90,2.24
Ueckermunde,53.74,64.4,55,0,6.93
Tigil,57.8,47.15,98,76,4.38
Port Lincoln,-34.72,56.87,100,92,15.57
Maine-Soroa,13.21,81.62,71,80,4.5
Khandyga,62.65,53.54,94,80,2.15
Warwick,41.7,91.58,52,20,17.22
Gorom-Gorom,14.45,74.78,85,8,7.96
Sacele,45.62,54.89,90,0,1.7
Paamiut,61.99,42.83,97,92,14.23
Emba,34.81,80.02,69,40,4.7
La Ronge,55.1,60.8,72,90,4.7
Grajewo,53.65,54.71,84,8,2.04
Juneau,58.3,58.84,96,75,8.05
Poltavka,54.36,51.02,86,92,2.71
Villiers,-27.03,42.56,49,0,5.73
Maragogi,-9.01,74.6,83,92,11.1
Sao Gabriel da Cachoeira,-0.13,86.0,70,40,4.7
Lompoc,34.64,74.1,51,1,12.75
Byron Bay,-28.65,50.0,87,0,4.7
Padang,-0.92,81.35,100,88,2.37
Mporokoso,-9.37,66.23,39,8,11.54
Linqiong,30.42,80.6,78,0,3.04
Ilulissat,69.22,37.4,59,75,5.82
Zlobin,45.29,71.6,60,0,2.15
Bilma,18.69,88.73,24,76,4.72
Ancud,-41.87,49.13,59,0,8.97
Yeniseysk,58.45,53.0,98,48,3.27
Marsa Matruh,31.35,80.6,69,40,8.05
Filingue,14.35,72.17,98,76,3.6
Krk,45.03,70.61,60,0,2.15
Ambovombe,-25.18,63.98,94,0,10.2
Yulara,-25.24,71.6,46,75,12.75
Abu Samrah,35.3,75.23,55,0,6.73
Deputatskiy,69.3,40.4,83,0,2.59
Anchorage,61.22,58.14,69,1,4.7
Barranca,-10.75,61.55,100,56,10.2
Merauke,-8.49,74.78,94,36,12.44
Pevek,69.7,44.81,100,92,5.73
Mehamn,71.03,57.99,72,40,8.05
Saint Anthony,43.97,70.38,28,1,8.05
Ziarat,30.38,50.66,70,0,3.71
Fuerte Olimpo,-21.04,90.08,42,0,11.1
Curanilahue,-37.48,48.68,100,92,4.16
Lac du Bonnet,50.25,66.14,77,24,9.75
Touros,-5.2,78.65,72,8,20.49
Waipawa,-39.94,48.5,91,68,3.6
Honningsvag,70.98,57.2,76,0,17.22
Kulhudhuffushi,6.62,80.81,100,88,11.99
Omboue,-1.57,76.4,100,88,10.76
Burnie,-41.05,49.58,100,8,13.44
Sesimbra,38.45,69.24,77,20,20.8
Petauke,-14.25,64.52,49,0,15.35
Kunda,59.5,57.95,89,92,6.73
Boffa,10.18,72.17,98,92,4.16
Belyy Yar,53.6,57.2,93,0,2.24
Smithers,54.78,60.8,55,75,5.82
Ilebo,-4.33,78.38,77,68,2.04
Zurrieq,35.83,75.2,69,0,3.36
Nishihara,35.74,76.46,91,90,3.36
Dakar,14.69,84.2,83,40,4.7
Westerstede,53.26,64.72,93,100,6.93
Hokitika,-42.72,49.4,100,92,9.42
Quatre Cocos,-20.21,68.0,72,40,3.36
Constitucion,23.99,77.0,33,75,6.93
Kawalu,-7.38,64.7,99,92,2.15
Mookane,-23.68,55.97,52,0,11.21
Cortez,37.35,84.02,2,1,8.05
Pochutla,15.74,87.33,70,40,9.17
Bunia,1.56,63.35,95,48,6.4
Lewistown,40.39,71.69,77,90,6.93
Larsnes,62.2,53.02,93,75,12.75
Huarmey,-10.07,70.01,54,0,4.38
Caico,-17.24,55.25,52,0,2.15
Venadillo,4.72,86.0,45,75,8.05
Huilong,28.89,78.38,82,56,4.94
Chernyshevskiy,63.01,56.96,94,92,2.59
Moron,10.49,87.8,55,40,3.38
Zhaoyuan,45.52,63.26,98,92,12.66
Comarapa,-17.91,72.35,33,0,4.83
Concordia,-31.4,75.2,73,75,12.75
Micheweni,-4.97,78.2,97,0,17.25
Whitecourt,54.14,57.2,87,90,2.24
Miyako,33.63,80.51,69,20,9.17
Kysyl-Syr,63.9,49.94,91,88,2.71
Treinta y Tres,-33.23,65.96,96,92,9.75
Warrnambool,-38.38,50.39,94,48,17.69
San Quintin,17.54,71.45,86,88,3.04
Mount Pleasant,33.16,94.51,41,1,4.05
Canon City,39.46,82.07,8,32,4.27
Ayr,55.46,53.38,76,20,12.75
Urengoy,65.96,46.07,92,36,13.89
Kathmandu,27.71,69.8,100,75,2.04
Asheville,35.6,85.86,43,1,9.17
Killarney,-28.34,34.01,80,0,2.26
Kollam,8.88,78.8,83,40,8.05
Vila Franca do Campo,37.72,75.2,83,75,9.17
Coihaique,-45.58,45.25,49,40,4.7
Moindou,-21.69,57.2,100,90,2.24
Caravelas,-17.73,75.68,100,68,14.67
College,64.86,51.91,73,75,8.05
Sinnamary,5.38,82.79,94,0,13.78
Zhangye,38.94,54.35,91,36,2.37
Namatanai,-3.66,82.88,99,92,9.08
Mozarlandia,-14.74,86.84,31,20,6.62
San Carlos,9.66,87.2,63,32,5.39
Verkhnevilyuysk,63.45,53.63,90,68,2.82
